Edad,Sexo,Alcance,Impresiones,Frecuencia,Resultados,Costo por resultado,Importe gastado (USD),CPM (costo por mil impresiones),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),ROAS,Tasa de resultados,Clics (todos),CPC (todos),CTR (todos),Comentarios de la publicación,Reacciones a la publicación,Interacción con una publicación,Veces que se compartió la publicación,Compras,Valor de conversión de compras,Pagos iniciados,Costo por pago iniciado
35-44,female,52992,67453,1.272890248,52,16.21987665,843.4335857,12.50401888,856,0.98531961,1.26903177,2.01866517,0.077090715,1626,0.51871684,2.41056736,44,277,23012,128,52,1702.61,199,4.23835973
35-44,female,42048,53027,1.261106355,34,23.28933384,791.8373505,14.93272013,771,1.02702639,1.453976276,1.35923116,0.064118279,1363,0.58095183,2.57038867,43,226,19689,91,34,1076.29,144,5.49887049
35-44,female,37280,45775,1.227870172,42,17.92809524,752.98,16.44959039,746,1.00935657,1.629710541,1.8435151,0.09175314,1185,0.63542616,2.58874932,23,235,17377,111,42,1388.13,165,4.56351515
45-54,female,25440,30149,1.185102201,40,18.554,742.16,24.61640519,635,1.16875591,2.106205844,1.78101757,0.132674384,1079,0.68782206,3.57889151,12,239,13208,81,40,1321.8,156,4.7574359
45-54,female,23232,30606,1.317407025,36,19.76382618,711.4977426,23.24700198,663,1.07314893,2.166241913,1.98493954,0.117623995,1119,0.63583355,3.65614585,13,177,12484,50,36,1412.28,130,5.47305956
35-44,female,32416,43161,1.331472113,42,16.681372,700.6176242,16.23265504,700,1.00088232,1.621834527,1.94702496,0.097310072,1251,0.56004606,2.89844999,31,180,14781,57,42,1364.12,182,3.84954739
25-34,female,46208,59761,1.29330419,36,19.43437942,699.637659,11.70726158,800,0.87454707,1.338665685,1.60385878,0.060239956,1583,0.44196946,2.64888472,41,197,20065,88,36,1122.12,175,3.99792948
25-34,female,44288,52411,1.183413114,45,14.87377778,669.32,12.77060159,649,1.03130971,1.238289672,2.21034782,0.085859839,1118,0.59867621,2.13313999,33,222,18460,162,45,1479.43,137,4.88554745
45-54,female,24672,29519,1.196457523,33,19.47599544,642.7078495,21.77268368,630,1.02017119,2.134218639,1.63347935,0.111792405,1011,0.63571498,3.42491277,17,201,12625,61,33,1049.85,117,5.49322948
45-54,female,26176,34170,1.305394254,29,20.41432751,592.0154977,17.32559256,596,0.99331459,1.744220076,1.5573072,0.084869769,1062,0.55745339,3.10798946,24,214,13950,77,29,921.95,106,5.58505187
25-34,female,41440,55992,1.351158301,27,21.68057586,585.3755482,10.45462831,641,0.91322238,1.144806401,1.47742761,0.048221174,1399,0.41842427,2.49857122,51,185,17405,87,27,864.85,120,4.87812957
25-34,female,33792,42708,1.263849432,39,13.36142745,521.0956706,12.20135971,530,0.98319938,1.240985295,2.36785694,0.091317786,1049,0.49675469,2.45621429,21,121,12844,53,39,1233.88,124,4.20238444
25-34,female,31680,41024,1.294949495,19,26.31526316,499.99,12.18774376,468,1.0683547,1.140795632,1.22698454,0.046314353,1011,0.49454995,2.46441108,35,142,13860,99,19,613.48,80,6.249875
35-44,female,24848,32064,1.290405666,21,22.25285714,467.31,14.57428892,410,1.13978049,1.278692615,1.40874366,0.065494012,768,0.60847656,2.39520958,23,142,11413,61,21,658.32,81,5.76925926
55-64,female,10432,12104,1.160276074,27,15.96148148,430.96,35.60475876,393,1.09659033,3.246860542,2.06014479,0.223066755,615,0.70074797,5.08096497,9,95,6132,33,27,887.84,79,5.45518987
55-64,female,11552,12738,1.102666205,19,22.1981363,421.7645897,33.11073871,391,1.07868182,3.06955566,1.49488605,0.149159994,632,0.66734903,4.96153242,14,85,6062,27,19,630.49,81,5.20697024
35-44,female,19888,25171,1.26563757,18,23.25166667,418.53,16.62746812,390,1.07315385,1.54940209,1.43731632,0.071510866,640,0.65395313,2.54260856,15,140,8534,46,18,601.56,74,5.65581081
55-64,female,9920,11795,1.189012097,20,18.98243648,379.6487297,32.18725983,366,1.03729161,3.10300975,1.72759698,0.169563374,596,0.63699451,5.05298855,13,96,5669,30,20,655.88,68,5.58306955
25-34,female,26592,33454,1.258047533,17,21.90470588,372.38,11.1311054,356,1.04601124,1.064147785,1.37934368,0.050816046,855,0.43553216,2.55574819,23,128,11115,51,17,513.64,79,4.71367089
45-54,female,10992,13696,1.245997089,24,14.73958333,353.75,25.82870911,319,1.10893417,2.329147196,2.21365371,0.175233645,491,0.72046843,3.58498832,12,108,5623,33,24,783.08,67,5.27985075
25-34,female,20400,26637,1.305735294,10,34.023,340.23,12.77283478,337,1.00958457,1.265157488,1.01166858,0.037541765,613,0.55502447,2.30131021,13,90,7991,51,10,344.2,63,5.40047619
35-44,female,17712,23883,1.348407859,23,14.60565217,335.93,14.06565339,356,0.9436236,1.490600008,2.10805823,0.09630281,708,0.4744774,2.9644517,15,125,8330,47,23,708.16,82,4.09670732
35-44,female,15536,16651,1.071768795,11,25.02181818,275.24,16.52993814,205,1.34263415,1.231157288,1.39558204,0.066062098,306,0.89947712,1.83772746,6,43,5981,13,11,384.12,44,6.25545455
